division_id,liberal_votes,liberal_percent,labor_votes,labor_percent
179,43325,45.35,52219,54.65
197,50142,58.59,35444,41.41
198,41705,42.68,56002,57.32
103,46210,51.44,43622,48.56
180,61566,65.19,32879,34.81
104,36571,41.7,51131,58.3
192,29056,43.91,37119,56.09
199,25456,28.25,64645,71.75
200,45105,46.26,52398,53.74
105,55077,59.72,37154,40.28
106,62470,66.45,31547,33.55
304,35029,41.12,50158,58.88
107,24378,30.52,55507,69.48
310,48002,53.39,41907,46.61
182,50980,53.5,44308,46.5
155,52690,57.07,39635,42.93
193,30913,47.8,33759,52.2
108,66513,71.04,27121,28.96
235,31516,38.57,50202,61.43
156,52693,55.92,41532,44.08
201,38118,45.92,44894,54.08
317,36181,42.89,48177,57.11
109,61978,61.81,38300,38.19
203,28870,32.13,60978,67.87
101,53473,41.54,75247,58.46
236,47987,56.79,36507,43.21
157,44633,50.63,43522,49.37
204,51703,56.06,40528,43.94
111,26367,30.81,59202,69.19
205,44437,51.24,42283,48.76
112,59760,65.39,31625,34.61
207,52291,53.13,46126,46.87
208,37779,40.01,56656,59.99
237,40195,49.32,41301,50.68
113,64743,62.58,38717,37.42
114,35547,36.68,61377,63.32
238,60631,70.7,25133,29.3
158,48167,53.34,42133,46.66
209,50264,55.68,40004,44.32
194,23104,34.66,43550,65.34
252,46922,51.6,44011,48.4
115,43683,45.19,52991,54.81
210,45925,51.43,43368,48.57
312,46823,61.06,29866,38.94
117,44466,47.07,50003,52.93
159,54578,61.05,34826,38.95
160,56299,60.89,36164,39.11
118,68114,70.53,28465,29.47
102,44780,36.11,79242,63.89
161,49473,59.06,34292,40.94
211,58683,57.77,42891,42.23
311,44480,51.04,42666,48.96
162,42486,50.63,41424,49.37
239,52981,62.56,31710,37.44
119,27561,32.51,57209,67.49
195,27343,39.28,42264,60.72
240,36055,42.48,48821,57.52
212,29357,31.77,63060,68.23
120,52336,50.73,50833,49.27
213,61106,68.43,28186,31.57
214,58628,62.68,34912,37.32
309,29970,30.55,68135,69.45
121,24306,27.64,63616,72.36
122,38920,43.69,50163,56.31
183,52696,58.63,37180,41.37
163,44519,48.4,47464,51.6
164,59589,65.31,31658,34.69
305,42294,52.05,38957,47.95
165,44150,49.98,44187,50.02
215,54798,60.69,35493,39.31
185,48446,49.42,49586,50.58
166,51804,58.42,36865,41.58
216,35701,35.83,63929,64.17
217,37060,42.52,50104,57.48
124,55633,59.33,38143,40.67
125,57127,60.18,37801,39.82
126,36211,37.54,60255,62.46
218,49038,54.4,41099,45.6
219,40932,44.27,51538,55.73
220,41894,45.33,50536,54.67
167,48903,56.86,37107,43.14
127,38172,41.43,53962,58.57
186,30775,32.95,62616,67.05
221,57007,63.34,32996,36.66
223,47649,51.46,44948,48.54
222,39029,36.56,67731,63.44
168,47915,53.95,40893,46.05
169,42964,44.68,53190,55.32
128,43643,48.89,45633,51.11
306,17827,41.58,25048,58.42
302,43339,49.21,44729,50.79
130,61416,61.63,38238,38.37
196,32677,47.69,35838,52.31
131,37464,41.67,52448,58.33
132,61800,65.74,32212,34.26
133,43719,47.81,47733,52.19
187,37954,40.35,56116,59.65
224,62383,71.32,25083,28.68
170,60821,67.54,29228,32.46
225,35369,37.69,58465,62.31
188,52650,55.35,42466,44.65
226,47718,42.15,65482,57.85
315,32596,37.89,53442,62.11
227,56543,56.03,44378,43.97
171,54687,61.64,34039,38.36
228,31616,33.43,62963,66.57
230,41236,48.62,43573,51.38
229,52842,60.56,34415,39.44
134,61847,67.82,29351,32.18
172,55824,64.94,30136,35.06
242,53416,61.02,34129,38.98
173,39056,45.98,45892,54.02
231,65920,74.9,22096,25.1
135,63100,66.42,31904,33.58
136,35887,36.16,63348,63.84
137,58825,63.61,33652,36.39
243,56543,65.04,30391,34.96
174,34111,40.92,49250,59.08
138,54717,52.3,49895,47.7
139,60901,65.1,32646,34.9
140,34722,42.33,47300,57.67
249,39289,39.26,60779,60.74
244,46672,53.63,40360,46.37
245,39029,46.67,44602,53.33
175,47926,51.65,44867,48.35
189,28890,30.09,67119,69.91
176,33061,38.7,52362,61.3
144,49543,54.69,41054,45.31
145,45306,46.04,53092,53.96
250,65719,66.44,33201,33.56
146,48728,51.14,46549,48.86
177,55994,59.09,38770,40.91
232,31309,32.72,64369,67.28
148,39277,40.06,58761,59.94
307,24019,44.0,30566,56.0
246,46520,56.12,36371,43.88
190,51998,55.89,41034,44.11
247,43625,53.59,37777,46.41
149,30490,34.69,57410,65.31
248,51029,61.07,32536,38.93
191,37439,39.03,58494,60.97
233,52625,58.96,36630,41.04
151,52948,61.09,33718,38.91
251,26989,32.42,56247,67.58
152,56971,67.75,27121,32.25
153,37356,41.8,52005,58.2
150,35711,36.28,62730,63.72
178,52264,58.14,37625,41.86
234,27071,28.77,67037,71.23
316,52651,59.62,35667,40.38
